name,min,max
almond milkshake 450ml,66,66
ambarella achcharu 600ml,499,499
caramel cheese sandwich,650,650
chocolate milkshake 450ml,1,1
egg scramble sandwich.,95,95
faluda with ice cream 450ml,87,87
fruit salad 1l,81,970
fruit salad 350ml,460,630
fruit salad 600ml,499,499
fruit salad ice cream jeli with kithul pani 350ml,88,88
fruit salad ice cream jeli with kithul pani 600ml,73,460
fruit salad ice crime jelly with kithul pani 1l,85,85
fruit salad with ice cream 350ml,87,88
fruit salad with ice cream 600ml,650,820
fruit salad with jelly and ice cream 350ml,580,580
fruit salad without pineapple 1l,62,62
fruit salad without pineapple 350ml,100,100
fruit salad without pineapple 600ml,550,550
fruit salad without pineapple ice cream jeli with kithul pani 600ml,1,1
fruit salad without pineapple with ice cream 600ml,410,410
garlic cheese sandwich,100,100
guava achcharu 350ml,92,92
mango juice 450ml,590,590
mango juice with ice cream 450ml,650,670
mango milkshake 450ml,520,520
marmite and butter sandwich,93,93
mix fruit jam and butter sandwich,100,100
mix fruit juice (350 ml),360,360
mix fruit lassi (350 ml),97,97
mix fruit milkshake,290,290
orange juice 450ml,62,62
papaya juice (350 ml),400,400
papaya juice 450ml,1,1
papaya lassi (350 ml),500,500
papaya milkshake,100,100
passion fruit juice 450ml,89,89
peanut butter and mix fruit jam sandwich,100,100
peanut butter and strawberry jam sandwich,500,500
peanut butter sandwich,500,500
pineapple juice 450ml,799,799
pineapple lassi (350 ml),430,430
pomegranate juice 450ml,799,799
sausage salad sandwich,580,580
spread cheese and marmite,320,320
spread cheese and mix fruit jam sandwich,95,95
spread cheese and strawberry jam sandwich,500,500
strawberry jam and butter sandwich,500,500
sweet orange juice 450ml,83,83
watermelon juice 450ml,820,820
